,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Au,0.0,0.0,0.11891859080792809,0.0,0.0,0.0,0.0,0.0,0.010436565536377427,0.04718196843425495,0.0,0.0,0.0,0.0,0.23730375179354035,0.0,0.1174441405960087,0.25288055620361655,0.0,0.05353705908476284
Be,0.0,0.0,0.0,0.0,0.01941902137144083,0.1333189352787816,0.3460811788545117,0.0028438504439426303,0.04385918566127049,0.0,0.002630520780927097,0.02731021206578043,0.0,0.12038092160525725,0.0,0.0033545142844687258,0.06165555232073147,0.020083976903272457,0.0,0.02163403968658472
Eu,0.0010153958307733417,0.22848053254296993,0.0,0.0,0.0,0.06390067271885887,0.041816728616031355,0.018993011783584954,0.0,0.006214606729795922,0.0,0.0,0.06417803830323317,0.0,0.005003242184674658,0.15335352818165177,0.10618889273397858,0.011938045666783607,0.0,0.0
Tc,0.011435928601544224,0.0,0.581387673571119,0.004121515745822418,0.02244172171780518,0.0,0.0,0.0034077997378093223,0.0,0.050649680539270825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029317210830081118
Tm,0.0,0.5104566067530896,0.0,0.0,0.005137512033648767,0.030994612896216224,0.0,0.0,0.04953154344043989,0.0010280921357310477,0.0,0.05138107895994999,0.0,0.0,0.0,0.0,0.0,0.0,0.0003403406898550235,0.0
Li,0.0,0.0,0.0,0.12598736381105485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008476549167738066,0.0,0.1629556820785957,0.0,0.0,0.0,0.0,0.0,0.0
Pt,0.12940855243375748,0.0,0.23745802698326118,0.0,0.0,0.0771501752357567,0.0,0.0,0.0,0.21255901386122006,0.0,0.0,0.0,0.0,0.0,0.0,0.05693726217665926,0.0,0.0,0.0272109377800005
Ge,0.09284786073366309,0.0,0.0,0.0,0.2901552235605473,0.09373977882091074,0.03888184789755065,0.0,0.05857788295699484,0.0,0.05963451803484308,0.0,0.0,0.0,0.0,0.0,0.0710352387067502,0.0,0.0,0.07897566339575095
N,0.21296887335739412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008942864729472382,0.0,0.0,0.003562986567310244,0.0,0.0,0.2994578050852034,0.0,0.001721610946425472,0.05960319837198249,0.009019155202101585,0.0
Dy,0.0,0.5802171015759391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tl,0.0,0.0,0.022078091888289,0.08844793524715089,0.0,0.0,0.0,0.0,0.12311829345075775,0.004004264347550771,0.0,0.0008013617873199469,0.0033533220919776878,0.0,0.012699943253200825,0.0,0.07618608782671857,0.33190754618642665,0.0,0.0
Cd,0.0,0.0,0.0,0.0,0.0,0.6373380257137322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe,0.001169478073965914,0.0,0.10449928839620316,0.0,0.0,0.0,0.3932954969389035,0.0,0.0,0.022446661956830267,0.0,0.0,0.02413087254055674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.53881437214444,0.0,0.0,0.0,0.0,0.0,0.14038235980192187,0.0,0.0,0.0,0.0,0.0,0.03526851705152804,0.0,0.0,0.0,0.033295510258298695,0.0
Mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008617463527693478,0.8019796310343102,0.0,0.0,0.0,0.0,0.0,0.0
Ga,0.0,0.0,0.07560733170940255,0.0,0.0,0.02249447397837178,0.0,0.0,0.6063240347689499,0.0,0.016020661801777424,0.0,0.0,0.0,0.0,0.0,0.04789127840671467,0.0,0.0,0.0
Ca,0.00495326904795533,0.0,0.0,0.0,0.0,0.0008144468243031182,0.008509954577765346,0.0,0.0,0.0009652455961329262,0.0,0.0,0.0,0.28949920249772537,0.0,0.4023528620511012,0.056284743845142614,0.0,0.0,0.00026805255752487486
Hf,0.0,0.0,0.0,0.02897351181734055,0.5496522796271379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0753679619866084,0.0,0.0,0.0,0.0
Pu,0.06260669431944157,0.0,0.0,0.0,0.0,0.04497515691408616,0.0,0.0,0.15876772731979236,0.0,6.627297471534246e-05,0.05503816716597026,0.4775619556973901,0.04038716864770522,0.02122096864560095,0.0,0.003157287020294133,0.0,0.0,0.0
Sb,0.17899413890120922,0.0,0.001795542781530766,0.0,0.0,0.0,0.0,0.2010478695226936,0.009477283471248436,0.0,0.021414963623390345,0.008421017810971827,0.0,0.0,0.04401253076873642,0.0,0.0,0.0,0.14505174197529863,0.0
Nb,0.06298323716346918,0.0,0.11698766087967215,0.0,0.01853977817181036,0.0,0.0,0.01167778842126753,0.0014700883287520714,0.0,0.5667542533584022,0.004100286127368739,0.012551518292038355,0.009861243067382754,0.0,0.0,0.009266624446628263,0.014897019659240167,0.036085511658149216,0.0
Pm,0.0,0.0,0.0,0.0,0.0,0.0023506967583646655,0.0,0.0,0.0,0.0,0.0,0.6162948441582081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba,0.005626485108319175,0.0,0.0,0.0,0.0,0.039217276975723324,0.016875193369164068,0.0013556636353552027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48716617409330315,0.0,0.002658050617238757,0.0,0.012902119411633536
Co,0.0900975634345904,0.0,0.002443244958068733,0.0,0.0,0.019030167289318937,0.01464662165130851,0.47947355439026534,0.0,0.0,0.0,0.0,0.0,0.016928069208669287,0.0,0.009001443902199178,0.0,0.02224027767222673,0.0,0.022372892506812056
