,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Au,0.097893676,-0.328683321,0.548927092,-0.764480596,-0.704853478,0.722361353,0.410661656,0.504226398,0.469287051,0.989641073,0.810878196,0.095746659,0.940114206,0.107000363,-0.123849854,0.446985146,0.634706646,-0.428420317,0.428775885,0.482424047
Be,0.112948254,0.529570046,0.227788338,0.174026372,-0.86705251,0.448925148,0.992115604,0.273239532,-0.748116268,-0.339409557,-0.116886509,0.084028399,-0.457166574,-0.911182992,-0.680853508,-0.185972761,0.77289662,0.754826161,-0.170950087,-0.604828482
Eu,-0.875973054,-0.737537403,0.54747058,-0.751986329,0.771776531,-0.058962353,-0.787049685,-0.569306768,0.607259257,-0.746845746,-0.575527727,0.072091404,0.858162706,-0.018111404,0.769565442,-0.512264838,0.977846339,0.35883765,0.947831943,0.083433914
Tc,0.612118141,-0.703450502,-0.240084571,0.441790519,0.227988243,-0.519014177,0.000215214,-0.167062618,-0.846512434,0.366493716,-0.079341612,0.244096078,0.39639695,0.10016489,0.819722427,0.52832905,0.939484663,-0.527638253,0.107665664,-0.777751793
Tm,0.113041715,-0.682511191,0.543565764,-0.346524302,0.59927828,0.988240651,-0.017856745,0.480613802,-0.684024672,-0.757529614,-0.136660301,0.846747295,-0.834765469,0.797288609,-0.867135138,0.992258312,-0.240831464,0.21448579,-0.508543476,0.262892036
Li,-0.507997997,0.139197888,0.946288912,0.542558136,-0.720885289,-0.285794325,-0.84961573,-0.305440357,-0.339316152,-0.552545687,0.516328577,0.882516395,-0.612758623,0.373967654,0.808032529,0.064037911,0.414255424,-0.612292764,-0.755301131,0.455158041
Pt,-0.918140779,0.064207674,-0.131750574,0.70845499,-0.663713845,0.507386644,-0.334736715,-0.519483535,-0.964362092,0.431678954,-0.608263704,0.33965004,0.119879474,0.379876891,-0.995477723,-0.953487873,-0.498624451,0.777523364,-0.247501645,0.540669438
Ge,0.634923489,-0.013075855,-0.511811304,-0.027520913,0.129994803,-0.510048821,0.846025413,0.888315793,-0.18045947,0.69991678,-0.333107545,0.522363112,0.4669729,-0.178590784,0.693095968,0.084620673,0.161365522,-0.168792672,-0.051015039,0.382067953
N,0.541578113,0.139607156,0.813673253,0.269143218,0.694835825,0.612420474,0.171208533,0.839704037,-0.549876046,-0.027778516,0.920331646,-0.517460767,0.744449733,0.54658286,0.606307432,0.25089315,-0.106216599,0.63996319,0.028498012,-0.587316065
Dy,0.343044837,0.583026035,0.155192248,0.020327159,-0.874797428,-0.410868316,0.099508959,0.862122494,0.349386247,-0.202696197,0.989993821,-0.481068297,-0.881228582,-0.060252525,-0.97152064,-0.656410195,-0.570188411,-0.036863872,0.639338564,-0.725513836
Tl,0.193068985,0.198442125,-0.091725222,-0.000366013,0.473190063,0.13669176,0.832708071,-0.184813888,0.050458948,0.700888613,0.250928332,0.074173955,-0.800598738,-0.857767325,-0.847793058,-0.080521679,0.966328911,0.637212394,-0.825008915,-0.261420763
Cd,0.657889433,0.457456246,-0.218815127,0.146641398,-0.980202838,0.370538048,0.564894032,0.107496888,-0.57105645,-0.964436124,0.317579086,-0.05302066,0.906788973,-0.6284831,-0.186697782,0.113430769,-0.616518965,-0.289193808,0.465991141,-0.699487725
Xe,-0.394058864,0.653650892,-0.428903737,-0.776115409,0.463125607,-0.749147948,0.527227076,0.086427244,-0.148084392,0.122233339,-0.239630429,0.106416042,-0.488552985,0.787809958,0.187269172,-0.111623763,0.432492075,-0.545907191,-0.184847458,-0.61292758
B,-0.813381865,0.604041682,0.681471313,0.815991726,-0.19984892,0.464521799,0.464119611,0.499414794,0.23311557,-0.642651982,-0.458773343,-0.692300319,0.473264577,0.83527306,-0.610181612,-0.21415945,-0.645544148,-0.184389615,0.661042918,0.096526256
Mg,-0.861956881,-0.316497637,0.221259752,0.886815159,0.480225258,-0.524736296,-0.451595707,0.185763612,-0.018133652,-0.810438248,-0.170614357,0.055603522,0.726950107,-0.670852386,-0.544102248,-0.023131231,-0.137918541,0.062998573,-0.757534232,-0.984255499
Ga,0.706933589,-0.689984354,0.992997111,-0.385400929,0.870094323,0.840360629,0.524989486,0.181734768,0.996453199,0.712421456,-0.366743775,-0.297327275,-0.877967075,0.899424828,0.130885817,-0.033159558,-0.204451988,0.981386923,-0.305239728,0.636267547
Ca,0.27043469,0.475814592,-0.314330254,-0.404922968,-0.826547872,0.954662486,-0.864707003,0.671761364,0.561756316,0.585496462,0.466747169,-0.150830996,0.766366905,-0.326519481,-0.093428888,-0.534451225,0.332821285,0.515521298,0.777219847,0.748098649
Hf,0.299259135,0.728167125,-0.50224452,0.55977328,-0.684010838,0.493929803,0.078190849,0.061883919,0.606383648,0.380460188,-0.200020205,0.098897503,0.28532812,-0.318611643,-0.953117137,-0.2290327,-0.619478722,0.1453438,0.289432957,-0.481341496
Pu,0.830502655,0.308413174,-0.186426972,0.703287636,0.748385498,-0.488825785,0.646360275,-0.438038073,-0.119413049,0.435543583,0.040615449,0.323053526,0.897173652,0.895791457,-0.380831989,0.884616149,0.214660098,0.03166263,-0.592388809,-0.146242077
Sb,-0.120884205,-0.605870535,0.830416589,0.258715516,-0.483258263,-0.929979955,0.835211892,-0.53616059,-0.902074751,0.836103663,-0.168227541,-0.068731865,0.033926105,-0.469326649,-0.327922712,-0.317090433,-0.979375903,-0.764196216,0.395128712,0.654604441
Nb,0.033411787,0.137497039,-0.162326262,0.475822212,-0.085826631,-0.634421441,0.903286171,-0.749966146,0.273834476,-0.43217565,0.85759721,-0.401710139,-0.748776509,-0.261359905,-0.304997081,0.964352343,-0.051573108,-0.528054233,0.93364812,-0.778268875
Pm,0.093153355,0.46308099,-0.372275679,-0.662641739,0.48297432,0.569972939,0.004484558,-0.3288,0.838178364,0.727265556,0.413406421,0.389126192,0.991321832,0.573689717,0.135630515,-0.651538035,0.955097392,-0.326072278,0.943011691,-0.027286595
Ba,-0.394480883,-0.451788116,0.079732344,-0.276717581,0.389574849,-0.20190443,0.069834484,-0.357991398,0.566097624,0.438418734,0.996805327,0.61130564,-0.146625703,0.632158662,0.93056582,-0.669044618,0.232485952,0.790935713,-0.343481899,-0.108484339
Co,-0.241847292,0.830235868,0.446530631,-0.42910248,0.143078334,0.207491507,-0.931181815,-0.564351165,-0.17373456,0.924977492,0.268203653,-0.029033842,0.000386315,0.472425966,-0.953926203,-0.338230097,-0.593785806,-0.109765684,0.552435266,-0.094815189
