,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Au,0.0,0.0,0.12754265005460605,0.0,0.0,0.0,0.005138871812785196,0.0,0.014626116106423056,0.05914003909550753,0.0,0.0,0.0006468680029737378,0.0,0.3382913354340661,0.0,0.12047275064340918,0.0,0.0,0.0
Be,0.0,0.0020555269991998784,0.0,0.0,0.003848762719052904,0.1049966655960464,0.4232330882667481,0.003978900503260482,0.04061959163731456,0.0030670456495076313,0.007221554812394075,0.02765530990286207,0.0,0.01986212806410361,0.0,0.09639380625088911,0.06520594452890502,7.061769299537991e-08,0.0,0.0
Eu,0.001982058166120487,0.22757307736385737,0.0,0.0,0.127638470914458,0.05255583193443977,0.05527007352492701,0.015349999132877481,0.0,0.006384807585346772,0.0,0.0,0.06571256208084283,0.0,0.007207817637400864,0.0,0.10687963566109603,1.2226766970264912e-09,0.0,0.0
Tc,0.007378986575271098,0.0,0.5784817219759862,0.004173573872702374,0.0,0.0,0.002980980133683763,0.003450566825552747,0.0,0.050056828192722655,0.0007976712032817466,0.0,0.0,0.024974819150258985,0.0,0.0,0.0,0.0,0.0,0.0
Tm,0.0,0.5099031275148045,0.0,0.0,0.0,0.02677245205477698,0.0,0.0,0.04599979098665131,0.0004512289732627891,0.0,0.05054356146743246,0.0,0.005877310421782131,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.0,0.0,0.0,0.12058756133070264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008400903019550708,0.0,0.0,0.0,0.1731512910032838,0.0,0.0,0.0,0.0
Pt,0.13912914176092603,0.0,0.2235371534949205,0.0,0.0,0.06895884964229008,0.0,0.0,0.0,0.20127412602284195,0.0,0.0,0.0,0.0,0.0,0.0,0.05623816035172073,6.854067404821714e-08,0.018679906236045662,0.0
Ge,0.1120903997713689,0.0,0.0,0.0,0.0,0.08346673984820081,0.0640099213475277,0.0,0.053537547005768356,0.0027077359494617663,0.062214584229034926,0.0,0.0,0.3205853097029758,0.0,0.0,0.07048633454195925,1.0931900870640531e-07,0.0,0.0
N,0.2291379397188647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008080229729314454,0.0,0.0,0.01365333692947294,0.0,0.0,0.2737024990304541,0.0,0.0,0.0,0.0,0.022385047530960347
Dy,0.0,0.5790020379049343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tl,0.0,0.0,0.028497992052827225,0.11966700140013757,0.0,0.0050544620808508495,0.0,0.0,0.12473861156967805,0.005735783592549467,0.0,0.0,0.007077565747067782,0.0,0.14326599103465296,0.0,0.10461788108075422,1.1050440688754357e-07,0.0,0.0
Cd,0.0,0.0,0.0,0.0,0.0,0.5658351516480706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe,0.0,0.0,0.0,0.0,0.0,0.0,0.1544663941220992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6628140324508178,0.0
B,0.0,0.0,0.5546610429394844,0.0,0.0,0.0,0.021061595425560024,0.0,0.13129271705884724,0.0,0.0,0.0,0.0,0.0,0.006105025551347259,0.0,0.0,2.516874218643261e-07,0.0,0.03016445708118405
Mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011768402679015707,0.0,0.0,0.8010277148529644,0.0,0.0,0.0,0.0
Ga,0.0,0.0,0.07865957612757146,0.0,0.0,0.018818228123333624,0.0,0.0,0.5664060951311836,0.0,0.015863410754211868,0.0,0.0,0.0,0.0,0.0,0.047679314757208026,0.0,0.0,0.0
Ca,0.006220008677638374,0.0,0.0,0.0,0.33741835712894724,0.0007084606200241366,0.02166930051676317,0.0,0.0,0.0008323963807708381,0.0,0.0,0.0,0.0,0.0,0.28978470582246046,0.05502728024155732,0.0,0.0,0.0
Hf,0.0,0.0,0.0,0.027095884094548443,0.06386153005451854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6160709656156613,0.0,0.0,0.0,0.0,0.0,0.0
Pu,0.06561811399395791,0.0,0.0,0.0,0.0,0.038453828638759874,0.0,0.0,0.1476064090879658,0.0,0.0023083058986414543,0.0575974051838406,0.4742034119849601,0.0,0.006904589533001987,0.03848727574869577,0.0,0.0,0.0,0.0
Sb,0.19287207158933975,0.0,0.01306318434441156,0.0,0.0,0.0,0.0,0.1850957901136426,0.009741269086041731,0.0,0.022252812950388733,0.012247343552407539,0.0,0.0,0.001631209141197367,0.0,0.0,0.0,0.0,0.16520797146596622
Nb,0.06325284921123937,0.0,0.11728734974132492,0.0,0.0,0.0,0.004588442995754367,0.011946915248523862,0.0012509035451310783,0.0,0.5621619582589483,0.003876038477331204,0.01695229778041547,0.018105066787180074,0.0018500549750254179,0.007885740399289149,0.011118460629497248,0.0,0.0,0.03661680389639579
Pm,0.0,0.0,0.0,0.0,0.0,0.0019887493668710398,0.0,0.0,0.0,0.0,0.0,0.6121453229457396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
