,Ag3_fccho,Al3_fccho,Au3_fccho,Cu3_fccho,Ir3_fccho,Ni3_fccho,Pb3_fccho,Pd3_fccho,Pt3_fccho,Rh3_fccho,Ag3_fcche,Al3_fcche,Au3_fcche,Cu3_fcche,Ir3_fcche,Ni3_fcche,Pb3_fcche,Pd3_fcche,Pt3_fcche,Rh3_fcche,Ag3_hcpho,Al3_hcpho,Au3_hcpho,Cu3_hcpho,Ir3_hcpho,Ni3_hcpho,Pb3_hcpho,Pd3_hcpho,Pt3_hcpho,Rh3_hcpho,Ag3_hcphe,Al3_hcphe,Au3_hcphe,Cu3_hcphe,Ir3_hcphe,Ni3_hcphe,Pb3_hcphe,Pd3_hcphe,Pt3_hcphe,Rh3_hcphe
Co,2.55808087,-1.64262479,2.67592263,1.05165777,0.96555823,0.33108932,1.04151364,1.62845433,1.82994381,0.55176716,2.42894237,-1.37884451,3.37830127,0.85073936,0.98146623,0.43614171,1.36463134,1.69063387,1.5886667,0.73975523,2.56790314,-1.22623304,2.8675497,1.11040916,1.207578,0.41511358,1.02593513,1.77529881,1.86591085,0.60354591,2.7687342,-1.0230551,3.48748323,1.27033213,1.04110365,0.50835,1.39688846,1.79913739,1.70398649,0.6817188
Be,2.30551925,-1.69631185,2.13080631,1.19057451,0.9359034,0.45259656,1.07565138,1.70766027,1.93400342,0.64354366,2.21337378,-1.62425094,2.6614616,1.25065633,1.03498175,0.50451424,1.20237985,1.79786274,2.4843479,0.7808586,2.37337035,-1.2092315,2.52561731,1.28582887,1.02072921,0.55824491,0.49755291,1.88090999,2.38735203,0.68929538,2.47432235,-1.13197814,3.25037936,1.35617489,0.97540333,0.48497464,1.32673276,1.96493519,2.43807814,0.68482785
Mg,2.16097039,-1.64157386,2.68259766,0.82416497,0.67806527,0.10200821,1.02872704,1.42946914,1.64128839,0.3658506,2.16334049,-1.66046372,2.73716435,0.90519659,0.97506941,0.25264681,1.11729311,1.64485817,2.07248624,0.71869089,2.23787504,-1.2990855,2.84489914,0.96744361,0.80886306,0.2523248,1.16845559,1.611487,2.06036696,0.42294256,2.28451767,-1.23844395,3.00261281,0.89123487,0.58011023,-0.00053467,1.22913525,1.51071782,2.03576335,0.2538777
Sc,2.11564737,-1.67579969,2.56383701,0.74267882,0.61583307,0.04942878,1.02193709,1.51295341,1.62191133,0.36372364,1.84253907,-1.40393957,2.12356538,0.61356535,1.0608219,0.34590845,1.40595481,1.82597338,2.14999794,0.8423286,2.08269548,-1.62146767,2.56565703,0.76325936,0.74488107,0.19229999,1.15118329,1.68650611,2.00275294,0.40268102,1.9185212,-1.40824083,2.94069994,-0.21111021,0.63669824,-0.031969,1.43452217,1.61000202,2.03111669,0.2129034
Ti,2.17166704,-1.71034094,2.67559106,0.9119399,0.80596545,0.128531,1.08151703,1.7033224,1.74947819,0.49085885,1.98811617,-1.25580763,2.35196941,0.66060709,1.33738224,0.61253618,1.42609503,2.15343047,2.42635952,0.98858204,2.17171938,-1.46883365,2.69787158,0.92047137,0.98278812,0.2803314,1.24049268,1.87603559,2.20042276,0.53984722,2.40176576,-1.2570431,3.04572489,0.44523439,1.09143017,0.31717404,1.47546303,1.98914056,2.21166343,0.56976979
Zn,2.23396856,-1.6956191,2.70575121,0.99596703,0.72854209,0.21265711,1.10217266,1.53760514,1.7039706,0.45678642,2.22108494,-1.68751608,2.80992011,1.0694919,0.84794812,0.23058708,0.96231669,1.57444668,2.05790467,0.57383365,2.32071044,-1.19244519,2.9374458,1.1368963,0.85629457,0.33567686,1.16966298,1.68433881,2.12294878,0.48434475,2.33272974,-1.23278102,3.03736997,1.11351125,0.69437983,0.18472437,1.2274911,1.73555121,2.13219982,0.39856785
Y,0.28420331,-1.55746309,2.24936721,-1.62191166,0.18376915,-0.02121831,0.95595019,1.32010769,1.24403762,0.10985187,1.71353119,-1.53225071,1.66948302,-0.01547884,0.84115302,0.46770516,1.37119137,1.64688136,1.67720851,0.71766275,1.90043201,-1.67219893,2.10084963,-0.2267466,0.50736897,0.02585365,1.06690706,1.46494651,1.6032576,0.2616789,0.16061747,-1.74038635,2.56542598,0.37492932,0.30265793,-0.33062103,1.42566465,1.28494398,1.56142769,-0.02208829
Zr,2.1402243,-1.72351387,2.51618527,0.78906571,0.55363475,0.01631004,1.04232632,1.67927901,1.58365208,0.34049025,1.80401184,-1.31513022,2.0131054,0.49440052,1.09378486,0.48996493,1.42412327,2.1466027,2.13539576,0.82066375,2.03495543,-1.56957226,2.3615884,0.70210425,0.75491037,0.13419052,1.21535297,1.76970092,1.93236101,0.37153721,1.17531378,-1.35021803,2.07222013,0.00417817,0.77809147,0.08794487,1.399952,1.91573616,2.09311146,0.26973449
Tc,2.2472673,-1.69727992,2.68448994,0.98461921,0.88512013,0.2327995,1.10700819,1.65383142,1.8599565,0.59992158,1.95287667,-1.08790165,2.29012436,0.66764694,1.45169647,0.39602378,1.46537298,1.68565904,1.86126485,0.98193239,2.20095304,-1.56807423,2.69430598,0.99072334,1.04887729,0.26669941,1.38152168,1.74932556,2.12740883,0.6599434,2.5096153,-1.29025434,3.015765,1.32864636,1.29327331,0.5200859,1.49688757,1.86476819,2.19203307,1.00252529
Ru,2.2611619,-1.76554816,2.80384195,0.93447313,0.87796598,0.23023695,0.47598214,1.62579698,1.7076425,0.59846957,1.99428478,-1.47383663,2.47234316,0.59325786,1.00448731,0.3541521,1.32566029,1.47367436,1.70233576,0.70168871,2.24503734,-1.50145617,2.88555841,0.94035152,1.05175359,0.27396043,0.93239983,1.71827431,2.06780839,0.62053863,2.54746066,-1.33055346,3.20017474,1.29123952,1.10899998,0.49612983,1.5014585,1.83209344,2.07107384,0.81229928
