Symbol,Atomic Number,Atomic Weight,Phase,Absolute Melting Point,Heat of Fusion,Heat of Vaporization,Specific Heat,Thermal Conductivity,Thermal Expansion,Density,Density (Liquid),Molar Volume,Brinell Hardness,Valence,Electronegativity,ElectronAffinity,Ionization Energies,Block,Group,Period,Electrical Conductivity,Magnetic Type,Atomic Radius,Covalent Radius,Crystal Structure,Lattice Angles,Lattice Constants,Space Group Name,Space Group Number
H,1,1.008,Gas,14.01 K,0.558 kJ/mol,0.452 kJ/mol,14300 J/(kg K)[note],0.1805 W/(m K),,0.0899 g/l[note],,0.01121,,1,2.2,72.8 kJ/mol,1312 kJ/mol,s,1,1,,Diamagnetic,53 pm,31 pm,Simple Hexagonal,pi/2& pi/2& 2 pi/3,470& 470& 340 pm,P63/mmc,194
He,2,4.002602,Gas,N/A[note],0.02 kJ/mol,0.083 kJ/mol,5193.1 J/(kg K)[note],0.1513 W/(m K),,0.1785 g/l[note],,0.022424,,0,,0 kJ/mol,2372.3& 5250.5 kJ/mol,s,18,1,,Diamagnetic,31 pm,28 pm,Face-centered Cubic,pi/2& pi/2& pi/2,424.2& 424.2& 424.2 pm,Fm_ 3m,225
Li,3,6.94,Solid,453.69 K,3 kJ/mol,147 kJ/mol,3570 J/(kg K)[note],85 W/(m K),0.000046 K-1,0.535 g/cm3,0.512 g/cm3,0.00001297,,1,0.98,59.6 kJ/mol,520.2& 7298.1& 11815 kJ/mol,s,1,2,1.1×107 S/m,Paramagnetic,167 pm,128 pm,Body-centered Cubic,pi/2& pi/2& pi/2,351& 351& 351 pm,Im_ 3m,229
Be,4,9.0121831,Solid,1560 K,7.95 kJ/mol,297 kJ/mol,1820 J/(kg K)[note],190 W/(m K),0.0000113 K-1,1.848 g/cm3,1.69 g/cm3,4.8767×10-6,600 MPa,2,1.57,0 kJ/mol,899.5& 1757.1& 14848.7& 21006.6 kJ/mol,s,2,2,2.5×107 S/m,Diamagnetic,112 pm,96 pm,Simple Hexagonal,pi/2& pi/2& 2 pi/3,228.58& 228.58& 358.43 pm,P63/mmc,194
B,5,10.81,Solid,2348 K,50 kJ/mol,507 kJ/mol,1030 J/(kg K)[note],27 W/(m K),6×10-6 K-1,2.46 g/cm3,2.08 g/cm3,4.3943×10-6,,3,2.04,26.7 kJ/mol,800.6& 2427.1& 3659.7& 25025.8& 32826.7 kJ/mol,p,13,2,0.0001 S/m,Diamagnetic,87 pm,85 pm,Simple Trigonal,1.01334& 1.01334& 1.01334,506& 506& 506 pm,R_ 3m,166
C,6,12.011,Solid,3823 K[note],105 kJ/mol,715 kJ/mol,710 J/(kg K)[note],140 W/(m K),7.1×10-6 K-1[note],2.26 g/cm3[note],,5.3146×10-6,,4,2.55,153.9 kJ/mol,1086.5& 2352.6& 4620.5& 6222.7& 37831& 47277 kJ/mol,p,14,2,100000 S/m[note],Diamagnetic,67 pm,76 pm,Simple Hexagonal,pi/2& pi/2& 2 pi/3,246.4& 246.4& 671.1 pm,P63/mmc,194
N,7,14.007,Gas,63.05 K,0.36 kJ/mol,2.79 kJ/mol,1040 J/(kg K)[note],0.02583 W/(m K),,1.251 g/l[note],,0.011197,,3,3.04,7 kJ/mol,1402.3& 2856& 4578.1& 7475& 9444.9& 53266.6& 64360 kJ/mol,p,15,2,,Diamagnetic,56 pm,71 pm,Simple Hexagonal,pi/2& pi/2& 2 pi/3,386.1& 386.1& 626.5 pm,P63/mmc,194
O,8,15.999,Gas,54.8 K,0.222 kJ/mol,3.41 kJ/mol,919 J/(kg K)[note],0.02658 W/(m K),,1.429 g/l[note],,0.011196,,2,3.44,141 kJ/mol,1313.9& 3388.3& 5300.5& 7469.2& 10989.5& 13326.5& 71330& 84078 kJ/mol,p,16,2,,Paramagnetic,48 pm,66 pm,Base-centered Monoclinic,pi/2& 2.313085& pi/2,540.3& 342.9& 508.6 pm,C12/m1,12
F,9,18.998403163,Gas,53.5 K,0.26 kJ/mol,3.27 kJ/mol,824 J/(kg K)[note],0.0277 W/(m K),,1.696 g/l[note],,0.011202,,1,3.98,328 kJ/mol,1681& 3374.2& 6050.4& 8407.7& 11022.7& 15164.1& 17868& 92038.1& 106434.3 kJ/mol,p,17,2,,,42 pm,57 pm,Base-centered Monoclinic,pi/2& pi/2& pi/2,550& 328& 728 pm,C12/c1,15
Ne,10,20.1797,Gas,24.56 K,0.34 kJ/mol,1.75 kJ/mol,1030 J/(kg K)[note],0.0491 W/(m K),,0.9 g/l[note],,0.02242,,0,,0 kJ/mol,2080.7& 3952.3& 6122& 9371& 12177& 15238& 19999& 23069.5& 115379.5& 131432 kJ/mol,p,18,2,,Diamagnetic,38 pm,58 pm,Face-centered Cubic,pi/2& pi/2& pi/2,442.9& 442.9& 442.9 pm,Fm_ 3m,225
